TITLE,IDENTIFIER
"Real GVA - Financial Services, Real Estate and Business Services (2004-05 series)",NAGDREFRBS05A
Real GVA excluding Agriculture (2011-12 Series),NAGDREGVXA12A
Real GVA excluding Government Services (2011-12 Series),NAGDREGVXG12A
Real GVA - Hotels and Restaurants (2004-05 series),NAGDREHOTE05A
Real GVA - Livestock (2011-12 series),NAGDRELIVE12A
Real GVA - Machinery and Equipment (2011-12 series),NAGDREMACH12A
Real GVA - Manufacturing (2004-05 series),NAGDREMANU05A
Real GVA - Manufacturing (2011-12 series),NAGDREMANU12A
Real GVA - Metal Products (2011-12 series),NAGDREMETL12A
Nominal GVA - Industry (2011-12 Series),NAGDNINGVA12A
Nominal GVA (1999-2000 Series),NAGDNOMGVA00A
Nominal GVA - Unregistered Manufacturing (2004-05 series),NAGDNOURMF05A
Nominal Imports of Goods and Services (2011-12 Series),NAGDNSIGAS12A
Real GVA (1999-2000 Series),NAGDREAGVA00A
Real GVA - Fishing and Aquaculture (2011-12 series),NAGDREFISH12A
Real GVA - Hotels & Restaurants (2011-12 series),NAGDREHOTE12A
Real GVA - Mining & Quarrying (2004-05 series),NAGDREMINE05A
Real GVA - Mining and quarrying (2011-12 series),NAGDREMINE12A
Real GVA - Other Manufactured Goods (2011-12 series),NAGDREOMFG12A
Real GVA -  Other Services (2004-05 series),NAGDREOTSV05A
Real GVA - Other services (2011-12 series),NAGDREOTSV12A
Real GVA - Other Transport (2004-05 series),NAGDREOTTR05A
Real GVA -  Public Administration and Defence (2004-05 series),NAGDREPAAD05A
Real GVA - Public administration and defence (2011-12 series),NAGDREPAAD12A
"Real GVA - Public Administration, Defence, Other Services (2011-12 series)",NAGDREPADO12A
"Real GVA - Real estate, Professional services (2011-12 series)",NAGDREPROP12A
Real GVA - Railways (2004-05 series),NAGDRERAIL05A
Real GVA - Railways (2011-12 series),NAGDRERAIL12A
Real GVA -  Real Estate and Business Services (2004-05 series),NAGDREREBS05A
Real GVA - Registered Manufacturing (2004-05 series),NAGDREREMF05A
Real GVA - Road transport (2011-12 series),NAGDREROAD12A
Real GVA - Storage (2004-05 series),NAGDRESTOR05A
Real GVA - Storage (2011-12 series),NAGDRESTOR12A
"Real GVA - Textiles, Apparel and Leather Products (2011-12 series)",NAGDRETEXT12A
"Real GVA - Trade, Hotels, Transport, Communication (2011-12 series)",NAGDRETHTC12A
Real GVA - Trade (2004-05 series),NAGDRETRAD05A
Real GVA - Trade & Repair Services (2011-12 series),NAGDRETRAD12A
"Real GVA - Transport, Storage, Communication and Broadcasting (2011-12 series)",NAGDRETRCO12A
"Real GVA - Trade, Hotels and Restaurant (2004-05 series)",NAGDRETRHO05A
"Real GVA - Trade, repair, hotels and restaurants (2011-12 series)",NAGDRETRHO12A
Real GVA - Services Incidental to Transport (2011-12 series),NAGDRETRSV12A
Real GVA - Unregistered Manufacturing (2004-05 series),NAGDREURMF05A
"Real GVA - Electricity, Gas and Other Utilities (2004-05 series)",NAGDREUTIL05A
"Real GVA - Electricity, Gas and Other Utilities (2011-12 series)",NAGDREUTIL12A
Real GVA - Water transport (2011-12 series),NAGDREWATR12A
"Real GVA - Financial, Real Estate & Professional Services (1999-2000 Series, Quarterly)",NAGDRFPGVA00Q
"Real GVA - Financial, Real Estate & Professional Services (2004-05 Series, Quarterly)",NAGDRFPGVA05Q
"Real GVA - Financial, Real Estate & Professional Services (2011-12 Series, Quarterly)",NAGDRFPGVA12Q
"Real GDP excluding Government Consumption (1999-2000 Series, Quarterly)",NAGDRGDPXD00Q
"Real GDP excluding Government Consumption (2004-05 Series, Quarterly)",NAGDRGDPXD05Q
"Real GDP excluding Government Consumption (2011-12 Series, Quarterly)",NAGDRGDPXD12Q
"Real GDP excluding Statistical discrepancies (1999-2000 Series, Quarterly)",NAGDRGDPXG00Q
"Real GDP excluding Statistical discrepancies (2004-05 Series, Quarterly)",NAGDRGDPXG05Q
"Real GDP excluding Statistical discrepancies (2011-12 Series, Quarterly)",NAGDRGDPXG12Q
Real GDP excluding Government Final Consumption (2004-05 Series),NAGDRGPXGC05A
Real GDP excluding Government Final Consumption (2011-12 Series),NAGDRGPXGC12A
Real GDP excluding Statistical Discrepancies (2004-05 Series),NAGDRGPXSD05A
Real GDP excluding Statistical Discrepancies (2011-12 Series),NAGDRGPXSD12A
"Real GVA - Excluding Agriculture and Allied Activities (1999-2000 Series, Quarterly)",NAGDRGVAXA00Q
"Real GVA - Excluding Agriculture and Allied Activities (2004-05 Series, Quarterly)",NAGDRGVAXA05Q
"Real GVA - Excluding Agriculture and Allied Activities (2011-12 Series, Quarterly)",NAGDRGVAXA12Q
Real GVA - Industry (1999-2000 Series),NAGDRINGVA00A
"Real GVA - Industry (1999-2000 Series, Quarterly)",NAGDRINGVA00Q
Real GVA - Industry (2004-05 Series),NAGDRINGVA05A
"Real GVA - Industry (2004-05 Series, Quarterly)",NAGDRINGVA05Q
Real GVA - Industry (2011-12 Series),NAGDRINGVA12A
"Real GVA - Industry (2011-12 Series, Quarterly)",NAGDRINGVA12Q
Real GVA - Industry (1993-94 Series),NAGDRINGVA94A
"Real GVA - Manufacturing (1999-2000 Series, Quarterly)",NAGDRMAGVA00Q
"Real GVA - Manufacturing (2004-05 Series, Quarterly)",NAGDRMAGVA05Q
"Real GVA - Manufacturing (2011-12 Series, Quarterly)",NAGDRMAGVA12Q
"Real GVA - Mining and Quarrying (1999-2000 Series, Quarterly)",NAGDRMIGVA00Q
"Real GVA - Mining and Quarrying (2004-05 Series, Quarterly)",NAGDRMIGVA05Q
"Real GVA - Mining and Quarrying (2011-12 Series, Quarterly)",NAGDRMIGVA12Q
"Real GVA - Public Administration, Defence & Other Services (1999-2000 Series, Quarterly)",NAGDRPAGVA00Q
"Real GVA - Public Administration, Defence & Other Services (2004-05 Series, Quarterly)",NAGDRPAGVA05Q
"Real GVA - Public Administration, Defence & Other Services (2011-12 Series, Quarterly)",NAGDRPAGVA12Q
Per Capita Real GDP (2004-05 Series),NAGDRPCGDP05A
Per Capita Real GDP (2011-12 Series),NAGDRPCGDP12A
Per Capita Real Gross Value Added (GVA) (Blended series),NAGDRPCGVA99A
Per Capita Real PFCE (2011-12 series),NAGDRPCPCE12A
"Real Change in Inventories (1999-2000 Series, Quarterly)",NAGDRSCIIA00Q
Real Change in Inventories (2004-05 Series),NAGDRSCIIA05A
"Real Change in Inventories (2004-05 Series, Quarterly)",NAGDRSCIIA05Q
Real Change in Inventories (2011-12 Series),NAGDRSCIIA12A
"Real Change in Inventories (2011-12 Series, Quarterly)",NAGDRSCIIA12Q
"Real Change in Valuables (1999-2000 Series, Quarterly)",NAGDRSCIVA00Q
Real Change in Valuables (2004-05 Series),NAGDRSCIVA05A
"Real Change in Valuables (2004-05 Series, Quarterly)",NAGDRSCIVA05Q
Real Change in Valuables (2011-12 Series),NAGDRSCIVA12A
"Real Change in Valuables (2011-12 Series, Quarterly)",NAGDRSCIVA12Q
"Real Gross Capital Formation (1999-2000 Series, Quarterly)",NAGDRSGCFA00Q
Real Gross Capital Formation (2004-05 Series),NAGDRSGCFA05A
"Real Gross Capital Formation (2004-05 Series, Quarterly)",NAGDRSGCFA05Q
Real Gross Capital Formation (2011-12 Series),NAGDRSGCFA12A
"Real Gross Capital Formation (2011-12 Series, Quarterly)",NAGDRSGCFA12Q
"Real Government Final Consumption Expenditure (1999-2000 Series, Quarterly)",NAGDRSGFCE00Q
Real Government Final Consumption Expenditure (2004-05 Series),NAGDRSGFCE05A
"Real Government Final Consumption Expenditure (2004-05 Series, Quarterly)",NAGDRSGFCE05Q
Real Government Final Consumption Expenditure (2011-12 Series),NAGDRSGFCE12A
"Real Government Final Consumption Expenditure (2011-12 Series, Quarterly)",NAGDRSGFCE12Q
"Real Gross Fixed Capital Formation (1999-2000 Series, Quarterly)",NAGDRSGFCF00Q
Real Gross Fixed Capital Formation (2004-05 Series),NAGDRSGFCF05A
"Real Gross Fixed Capital Formation (2004-05 Series, Quarterly)",NAGDRSGFCF05Q
Real Gross Fixed Capital Formation (2011-12 Series),NAGDRSGFCF12A
"Real Gross Fixed Capital Formation (2011-12 Series, Quarterly)",NAGDRSGFCF12Q
"Real Imports of Goods and Services (1999-2000 Series, Quarterly)",NAGDRSIGAS00Q
Real Imports of Goods and Services (2004-05 Series),NAGDRSIGAS05A
"Real Imports of Goods and Services (2004-05 Series, Quarterly)",NAGDRSIGAS05Q
Real Imports of Goods and Services (2011-12 Series),NAGDRSIGAS12A
"Real Imports of Goods and Services (2011-12 Series, Quarterly)",NAGDRSIGAS12Q
"Real Net Exports of Goods and Services (1999-2000 Series, Quarterly)",NAGDRSNXGS00Q
Real Net Exports of Goods and Services (2004-05 Series),NAGDRSNXGS05A
"Real Net Exports of Goods and Services (2004-05 Series, Quarterly)",NAGDRSNXGS05Q
Real Net Exports of Goods and Services (2011-12 Series),NAGDRSNXGS12A
"Real Net Exports of Goods and Services (2011-12 Series, Quarterly)",NAGDRSNXGS12Q
"Real Private Final Consumption Expenditure (1999-2000 Series, Quarterly)",NAGDRSPFCE00Q
Real Private Final Consumption Expenditure (2004-05 Series),NAGDRSPFCE05A
"Real Private Final Consumption Expenditure (2004-05 Series, Quarterly)",NAGDRSPFCE05Q
Real Private Final Consumption Expenditure (2011-12 Series),NAGDRSPFCE12A
"Real Private Final Consumption Expenditure (2011-12 Series, Quarterly)",NAGDRSPFCE12Q
"Real Statistical Discrepancies (1999-2000 Series, Quarterly)",NAGDRSSTDS00Q
Real Statistical Discrepancies (2004-05 Series),NAGDRSSTDS05A
"Real Statistical Discrepancies (2004-05 Series, Quarterly)",NAGDRSSTDS05Q
Real Statistical Discrepancies (2011-12 Series),NAGDRSSTDS12A
"Real Statistical Discrepancies (2011-12 Series, Quarterly)",NAGDRSSTDS12Q
Real GVA - Services (1999-2000 Series),NAGDRSVGVA00A
"Real GVA - Services (1999-2000 Series, Quarterly)",NAGDRSVGVA00Q
Real GVA - Services (2004-05 Series),NAGDRSVGVA05A
"Real GVA - Services (2004-05 Series, Quarterly)",NAGDRSVGVA05Q
Real GVA - Services (2011-12 Series),NAGDRSVGVA12A
"Real GVA - Services (2011-12 Series, Quarterly)",NAGDRSVGVA12Q
"Real Exports of Goods and Services (1999-2000 Series, Quarterly)",NAGDRSXGAS00Q
"Real Exports of Goods and Services (2004-05 Series, Quarterly)",NAGDRSXGAS05Q
Real Exports of Goods and Services (2011-12 Series),NAGDRSXGAS12A
"Real Exports of Goods and Services (2011-12 Series, Quarterly)",NAGDRSXGAS12Q
"Real GVA - Trade, Transport, Hotels, Communication & Broadcasting Services (1999-2000 Series, Quarterly)",NAGDRTTGVA00Q
"Real GVA - Trade, Transport, Hotels, Communication & Broadcasting Services (2004-05 Series, Quarterly)",NAGDRTTGVA05Q
"Real GVA - Trade, Transport, Hotels, Communication & Broadcasting Services (2011-12 Series, Quarterly)",NAGDRTTGVA12Q
"Real GVA - Electricity, Gas, Water & Other Utilities (1999-2000 Series, Quarterly)",NAGDRUTGVA00Q
"Real GVA - Electricity, Gas, Water & Other Utilities (2004-05 Series, Quarterly)",NAGDRUTGVA05Q
"Real GVA - Electricity, Gas, Water & Other Utilities (2011-12 Series, Quarterly)",NAGDRUTGVA12Q
Nominal GDP (Annual) - Brazil,NOMGDPBRTOGLA
Nominal GDP (Annual) - China,NOMGDPCHTOGLA
Nominal GDP (Annual) - France,NOMGDPFRTOGLA
Nominal GDP (Annual) - Germany,NOMGDPGETOGLA
Nominal GDP (Annual) - Indonesia,NOMGDPIDTOGLA
Nominal GDP (Annual) - India,NOMGDPINTOGLA
Nominal GDP (Annual) - Italy,NOMGDPITTOGLA
Nominal GDP (Annual) - Japan,NOMGDPJPTOGLA
Nominal GDP (Annual) - Mexico,NOMGDPMXTOGLA
Nominal GDP (Annual) - Philippines,NOMGDPPHTOGLA
Nominal GDP (Annual) - Poland,NOMGDPPLTOGLA
Nominal GDP (Annual) - South Africa,NOMGDPSATOGLA
Nominal GDP (Annual) - South Korea,NOMGDPSKTOGLA
Nominal GDP (Annual) - Thailand,NOMGDPTHTOGLA
Nominal GDP (Annual) - Türkiye,NOMGDPTRTOGLA
Nominal GDP (Annual) - United Kingdom,NOMGDPUKTOGLA
Nominal GDP (Annual) - United States,NOMGDPUSTOGLA
"US Non Farm Payroll (monthly change, SA)",NONFPUSNETGLM
Real Exports of Goods and Services (2004-05 Series),NAGDRSXGAS05A
"US Non Farm Payroll (total, SA)",NONFPUSTOTGLM
Consensus GDP Growth for the Current Year,RBPFSVGDCY11M
Consensus GDP Growth for the Next Year,RBPFSVGDNY11M
Consensus GVA Growth for the Current Year,RBPFSVGVCY11M
Consensus GVA Growth for the Next Year,RBPFSVGVNY11M
Real GDP - Brazil,REAGDPBRTOGLQ
Real GDP - China,REAGDPCHTOGLQ
Real GDP - Euro Area,REAGDPEUTOGLQ
Real GDP - France,REAGDPFRTOGLQ
Real GDP - Germany,REAGDPGETOGLQ
Real GDP - Indonesia,REAGDPIDTOGLQ
Real GDP - Italy,REAGDPITTOGLQ
Real GDP - Japan,REAGDPJPTOGLQ
Real GDP - Mexico,REAGDPMXTOGLQ
Real GDP - Philippines,REAGDPPHTOGLQ
Real GDP - South Africa,REAGDPSATOGLQ
Real GDP - South Korea,REAGDPSKTOGLQ
Real GDP - Thailand,REAGDPTHTOGLQ
Real GDP - Turkiye,REAGDPTRTOGLQ
Real GDP - UK,REAGDPUKTOGLQ
Real GDP - USA,REAGDPUSTOGLQ
Birth Rate (Annual),SSDGBIRTHR11A
Death Rate (Annual),SSDGDEATHR11A
Literacy Rate,SSDGLITRAT11X
Mid-Year Estimated Population,SSDGMYEPOP11A
Population Density,SSDGPOPDEN11X
Projected Median Age of Population,SSDGPRMDAG11Q
Projected share of Urban Population,SSDGPSHURT11A
Projected Annual Population,SSDGPTTAPP11A
Projected Annual Population (Female),SSDGPTTFPP11A
Projected Annual Population (Male),SSDGPTTMPP11A
Projected Annual Urban Population,SSDGPURAPP11A
Projected Annual Urban Population (Female),SSDGPURFPP11A
Projected Annual Urban Population (Male),SSDGPURMPP11A
Total Rural Population,SSDGRURPOP11X
Sex Ratio,SSDGSEXRTO11X
Sex Ratio at Birth (Annual),SSDGSXRTBR11A
Total Fertility Rate (Annual),SSDGTFRATE11A
Total Population,SSDGTOTPOP11X
Total Urban Population,SSDGURBPOP11X
Number of Colleges in India,SSEDCOLTOT11A
Percentage of children enrolled in Government schools,SSEDENAGOV11A
Percentage of enrolled children able to identify 4 out of 5 letters,SSEDENALEB11A
Percentage of enrolled children able to read 4 out of 5 words,SSEDENALEC11A
Percentage of enrolled children able to read a short paragraph (class I text),SSEDENALED11A
Percentage of enrolled children able to read a longer paragraph (class II text),SSEDENALEE11A
Percentage of children not enrolled in schools,SSEDENANES11A
Percentage of children enrolled in non-Government non-Private schools,SSEDENANGP11A
Percentage of children enrolled in Private schools,SSEDENAPVT11A
Percentage of boys enrolled in Government schools,SSEDENBGOV11A
Percentage of enrolled boys able to identify less than 4 out of 5 letters correctly,SSEDENBLEA11A
Percentage of enrolled boys able to identify 4 out of 5 letters,SSEDENBLEB11A
Percentage of enrolled boys able to read 4 out of 5 words,SSEDENBLEC11A
Percentage of enrolled boys able to read a short paragraph (class I text),SSEDENBLED11A
Percentage of boys not enrolled in schools,SSEDENBNES11A
Percentage of boys enrolled in non-Government non-Private schools,SSEDENBNGP11A
Percentage of boys enrolled in Private schools,SSEDENBPVT11A
Percentage of girls enrolled in Government schools,SSEDENGGOV11A
Percentage of enrolled girls able to identify less than 4 out of 5 letters correctly,SSEDENGLEA11A
Percentage of enrolled girls able to identify 4 out of 5 letters,SSEDENGLEB11A
Percentage of enrolled girls able to read 4 out of 5 words,SSEDENGLEC11A
Percentage of enrolled girls able to read a short paragraph (class I text),SSEDENGLED11A
Percentage of enrolled girls able to read a longer paragraph (class II text),SSEDENGLEE11A
Percentage of girls not enrolled in schools,SSEDENGNES11A
Percentage of girls enrolled in non-Government non-Private schools,SSEDENGNGP11A
Percentage of girls enrolled in Private schools,SSEDENGPVT11A
Gross Enrolment Ratio in Higher Education - Female,SSEDERRTFM11A
Gross Enrolment Ratio in Higher Education (SC Category) - Female,SSEDERRTSF11A
Gross Enrolment Ratio in Higher Education (SC Category) - Male,SSEDERRTSM11A
Gross Enrolment Ratio in Higher Education (SC Category),SSEDERRTST11A
Gross Enrolment Ratio in Higher Education (ST Category) - Female,SSEDERRTTF11A
Gross Enrolment Ratio in Higher Education (ST Category) - Male,SSEDERRTTM11A
Gross Enrolment Ratio in Higher Education (ST Category),SSEDERRTTT11A
Total Enrolment in Deemed University - Government Aided - Certificate Courses (Female),SSEDHADFCE11A
"Real GVA - Transport, Storage and Communication (2004-05 series)",NAGDRETRCO05A
Real GVA - Services (1993-94 Series),NAGDRSVGVA94A
Percentage of enrolled boys able to read a longer paragraph (class II text),SSEDENBLEE11A
Gross Enrolment Ratio in Higher Education - Male,SSEDERRTML11A
Total Enrolment in Deemed University - Government Aided - Post Graduate Diploma Courses (Female),SSEDHADFDE11A
Total Enrolment in Deemed University - Government Aided - Post Graduate Courses (Female),SSEDHADFGE11A
Total Enrolment in Deemed University - Government Aided - Integrated Courses (Female),SSEDHADFIE11A
Total Enrolment in Deemed University - Government Aided - Diploma Courses (Female),SSEDHADFLE11A
Total Enrolment in Deemed University - Government Aided - MPhil Course (Female),SSEDHADFME11A
Total Enrolment in Deemed University - Government Aided - PhD Course (Female),SSEDHADFPE11A
Total Enrolment in Deemed University - Government Aided (Female),SSEDHADFTE11A
Total Enrolment in Deemed University - Government Aided - Under Graduate Courses (Female),SSEDHADFUE11A
Total Enrolment in Deemed University - Government Aided - Certificate Courses (Male),SSEDHADMCE11A
Total Enrolment in Deemed University - Government Aided - Post Graduate Diploma Courses (Male),SSEDHADMDE11A
Total Enrolment in Deemed University - Government Aided - Post Graduate Courses (Male),SSEDHADMGE11A
Total Enrolment in Deemed University - Government Aided - Integrated Courses (Male),SSEDHADMIE11A
Total Enrolment in Deemed University - Government Aided - Diploma Courses (Male),SSEDHADMLE11A
Total Enrolment in Deemed University - Government Aided - MPhil Course (Male),SSEDHADMME11A
Total Enrolment in Deemed University - Government Aided - PhD Course (Male),SSEDHADMPE11A
Total Enrolment in Deemed University - Government Aided (Male),SSEDHADMTE11A
Total Enrolment in Deemed University - Government Aided - Under Graduate Courses (Male),SSEDHADMUE11A
Total Enrolment in Deemed University - Government Aided - Certificate Courses,SSEDHADTCE11A
Total Enrolment in Deemed University - Government Aided - Post Graduate Diploma Courses,SSEDHADTDE11A
Total Enrolment in Deemed University - Government Aided - Post Graduate Courses,SSEDHADTGE11A
Total Enrolment in Deemed University - Government Aided - Integrated Courses,SSEDHADTIE11A
Total Enrolment in Deemed University - Government Aided - Diploma Courses,SSEDHADTLE11A
Total Enrolment in Deemed University - Government Aided - MPhil Course,SSEDHADTME11A
Total Enrolment in Deemed University - Government Aided - PhD Course,SSEDHADTPE11A
Total Enrolment in Deemed University - Government Aided,SSEDHADTTE11A
Total Enrolment in Deemed University - Government Aided - Under Graduate Courses,SSEDHADTUE11A
Total Enrolment in All Universities - Certificate Courses (Female),SSEDHAUFCE11A
Total Enrolment in All Universities - Post Graduate Diploma Courses (Female),SSEDHAUFDE11A
Total Enrolment in All Universities - Post Graduate Courses (Female),SSEDHAUFGE11A
Total Enrolment in All Universities - Integrated Courses (Female),SSEDHAUFIE11A
Total Enrolment in All Universities - Diploma Courses (Female),SSEDHAUFLE11A
Total Enrolment in All Universities - MPhil Course (Female),SSEDHAUFME11A
Total Enrolment in All Universities - PhD Course (Female),SSEDHAUFPE11A
Total Enrolment in All Universities (Female),SSEDHAUFTE11A
Total Enrolment in All Universities - Under Graduate Courses (Female),SSEDHAUFUE11A
Total Enrolment in All Universities - Certificate Courses (Male),SSEDHAUMCE11A
Total Enrolment in All Universities - Post Graduate Diploma Courses (Male),SSEDHAUMDE11A
Total Enrolment in All Universities - Post Graduate Courses (Male),SSEDHAUMGE11A
Total Enrolment in All Universities - Integrated Courses (Male),SSEDHAUMIE11A
Total Enrolment in All Universities - Diploma Courses (Male),SSEDHAUMLE11A
Total Enrolment in All Universities - MPhil Course (Male),SSEDHAUMME11A
Total Enrolment in All Universities - PhD Course (Male),SSEDHAUMPE11A
Total Enrolment in All Universities (Male),SSEDHAUMTE11A
Total Enrolment in All Universities - Under Graduate Courses (Male),SSEDHAUMUE11A
Total Enrolment in All Universities - Certificate Courses,SSEDHAUTCE11A
Total Enrolment in All Universities - Post Graduate Diploma Courses,SSEDHAUTDE11A
Total Enrolment in All Universities - Post Graduate Courses,SSEDHAUTGE11A
Total Enrolment in All Universities - Integrated Courses,SSEDHAUTIE11A
Total Enrolment in All Universities - Diploma Courses,SSEDHAUTLE11A
Total Enrolment in All Universities - PhD Course,SSEDHAUTPE11A
Total Enrolment in All Universities,SSEDHAUTTE11A
Total Enrolment in All Universities - Under Graduate Courses,SSEDHAUTUE11A
Total Enrolment in Central Open Universities - Certificate Courses (Female),SSEDHCOFCE11A
Total Enrolment in Central Open Universities - Post Graduate Diploma Courses (Female),SSEDHCOFDE11A
Total Enrolment in Central Open Universities - Post Graduate Courses (Female),SSEDHCOFGE11A
Total Enrolment in Central Open Universities - Integrated Courses (Female),SSEDHCOFIE11A
Total Enrolment in Central Open Universities - Diploma Courses (Female),SSEDHCOFLE11A
Total Enrolment in Central Open Universities - MPhil Course (Female),SSEDHCOFME11A
Total Enrolment in Central Open Universities - PhD Course (Female),SSEDHCOFPE11A
Total Enrolment in Central Open Universities (Female),SSEDHCOFTE11A
Total Enrolment in Central Open Universities - Under Graduate Courses (Female),SSEDHCOFUE11A
Total Enrolment in Central Open Universities - Certificate Courses (Male),SSEDHCOMCE11A
Total Enrolment in Central Open Universities - Post Graduate Courses (Male),SSEDHCOMGE11A
Total Enrolment in Central Open Universities - Integrated Courses (Male),SSEDHCOMIE11A
Total Enrolment in Central Open Universities - Diploma Courses (Male),SSEDHCOMLE11A
Total Enrolment in Central Open Universities - MPhil Course (Male),SSEDHCOMME11A
Total Enrolment in Central Open Universities (Male),SSEDHCOMTE11A
Total Enrolment in Central Open Universities - Under Graduate Courses (Male),SSEDHCOMUE11A
Total Enrolment in Central Open Universities - Post Graduate Diploma Courses,SSEDHCOTDE11A
Total Enrolment in Central Open Universities - Post Graduate Courses,SSEDHCOTGE11A
Total Enrolment in Central Open Universities - Integrated Courses,SSEDHCOTIE11A
Percentage of enrolled children able to identify less than 4 out of 5 letters correctly,SSEDENALEA11A
Gross Enrolment Ratio in Higher Education,SSEDERRTOT11A
Total Enrolment in Central Open Universities - Post Graduate Diploma Courses (Male),SSEDHCOMDE11A
Total Enrolment in Central Open Universities - PhD Course (Male),SSEDHCOMPE11A
Total Enrolment in Central Open Universities - Certificate Courses,SSEDHCOTCE11A
Total Enrolment in Central Open Universities - Diploma Courses,SSEDHCOTLE11A
Total Enrolment in Central Open Universities - MPhil Course,SSEDHCOTME11A
Total Enrolment in Central Open Universities - PhD Course,SSEDHCOTPE11A
Total Enrolment in Central Open Universities,SSEDHCOTTE11A
Total Enrolment in Central Open Universities - Under Graduate Courses,SSEDHCOTUE11A
Total Enrolment in Central Universities - Certificate Courses (Female),SSEDHCUFCE11A
Total Enrolment in Central Universities - Post Graduate Diploma Courses (Female),SSEDHCUFDE11A
Total Enrolment in Central Universities - Post Graduate Courses (Female),SSEDHCUFGE11A
Total Enrolment in Central Universities - Integrated Courses (Female),SSEDHCUFIE11A
Total Enrolment in Central Universities - Diploma Courses (Female),SSEDHCUFLE11A
Total Enrolment in Central Universities - MPhil Course (Female),SSEDHCUFME11A
Total Enrolment in Central Universities - PhD Course (Female),SSEDHCUFPE11A
Total Enrolment in Central Universities (Female),SSEDHCUFTE11A
Total Enrolment in Central Universities - Under Graduate Courses (Female),SSEDHCUFUE11A
Total Enrolment in Central Universities - Certificate Courses (Male),SSEDHCUMCE11A
Total Enrolment in Central Universities - Post Graduate Diploma Courses (Male),SSEDHCUMDE11A
Total Enrolment in Central Universities - Post Graduate Courses (Male),SSEDHCUMGE11A
Total Enrolment in Central Universities - Integrated Courses (Male),SSEDHCUMIE11A
Total Enrolment in Central Universities - Diploma Courses (Male),SSEDHCUMLE11A
Total Enrolment in Central Universities - MPhil Course (Male),SSEDHCUMME11A
Total Enrolment in Central Universities - PhD Course (Male),SSEDHCUMPE11A
Total Enrolment in Central Universities (Male),SSEDHCUMTE11A
Total Enrolment in Central Universities - Under Graduate Courses (Male),SSEDHCUMUE11A
Total Enrolment in Central Universities - Certificate Courses,SSEDHCUTCE11A
Total Enrolment in Central Universities - Post Graduate Diploma Courses,SSEDHCUTDE11A
Total Enrolment in Central Universities - Post Graduate Courses,SSEDHCUTGE11A
Total Enrolment in Central Universities - Integrated Courses,SSEDHCUTIE11A
Total Enrolment in Central Universities - Diploma Courses,SSEDHCUTLE11A
Total Enrolment in Central Universities - MPhil Course,SSEDHCUTME11A
Total Enrolment in Central Universities - PhD Course,SSEDHCUTPE11A
Total Enrolment in Central Universities,SSEDHCUTTE11A
Total Enrolment in Central Universities - Under Graduate Courses,SSEDHCUTUE11A
Total Enrolment in Deemed University - Government - Certificate Courses (Female),SSEDHDUFCE11A
Total Enrolment in Deemed University - Government - Post Graduate Diploma Courses (Female),SSEDHDUFDE11A
Total Enrolment in Deemed University - Government - Post Graduate Courses (Female),SSEDHDUFGE11A
Total Enrolment in Deemed University - Government - Integrated Courses (Female),SSEDHDUFIE11A
Total Enrolment in Deemed University - Government - Diploma Courses (Female),SSEDHDUFLE11A
Total Enrolment in Deemed University - Government - MPhil Course (Female),SSEDHDUFME11A
Total Enrolment in Deemed University - Government - PhD Course (Female),SSEDHDUFPE11A
Total Enrolment in Deemed University - Government (Female),SSEDHDUFTE11A
Total Enrolment in Deemed University - Government - Under Graduate Courses (Female),SSEDHDUFUE11A
Total Enrolment in Deemed University - Government - Certificate Courses (Male),SSEDHDUMCE11A
Total Enrolment in Deemed University - Government - Post Graduate Diploma Courses (Male),SSEDHDUMDE11A
Total Enrolment in Deemed University - Government - Post Graduate Courses (Male),SSEDHDUMGE11A
Total Enrolment in Deemed University - Government - Integrated Courses (Male),SSEDHDUMIE11A
Total Enrolment in Deemed University - Government - Diploma Courses (Male),SSEDHDUMLE11A
Total Enrolment in Deemed University - Government - MPhil Course (Male),SSEDHDUMME11A
Total Enrolment in Deemed University - Government - PhD Course (Male),SSEDHDUMPE11A
Total Enrolment in Deemed University - Government (Male),SSEDHDUMTE11A
Total Enrolment in Deemed University - Government - Under Graduate Courses (Male),SSEDHDUMUE11A
Total Enrolment in Deemed University - Government - Certificate Courses,SSEDHDUTCE11A
Total Enrolment in Deemed University - Government - Post Graduate Diploma Courses,SSEDHDUTDE11A
Total Enrolment in Deemed University - Government - Post Graduate Courses,SSEDHDUTGE11A
Total Enrolment in Deemed University - Government - Integrated Courses,SSEDHDUTIE11A
Total Enrolment in Deemed University - Government - Diploma Courses,SSEDHDUTLE11A
Total Enrolment in Deemed University - Government - MPhil Course,SSEDHDUTME11A
Total Enrolment in Deemed University - Government,SSEDHDUTTE11A
Total Enrolment in Deemed University - Government - Under Graduate Courses,SSEDHDUTUE11A
Average Enrolment per College,SSEDHEDAEC11A
Number of Colleges per 100k population,SSEDHEDCPL11A
Estimated Enrolment of Students in Higher Education in Certificate Courses - Female,SSEDHEEFCT11A
Estimated Enrolment of Students in Higher Education in Diploma Courses - Female,SSEDHEEFDP11A
Estimated Enrolment of Students in Higher Education in Integrated Course Courses - Female,SSEDHEEFIG11A
Estimated Enrolment of Students in Higher Education in M Phil Courses - Female,SSEDHEEFMP11A
Estimated Enrolment of Students in Higher Education in Post Graduate Diploma Courses - Female,SSEDHEEFPD11A
